Water_Body,pH,Turbidity_NTU,Temperature_C,Dissolved_Oxygen_mgL,Conductivity_uS,Bacteria_CFU_100mL,Potability,Organic_Carbon_mgL,Ammonia_mgL,Nitrates_mgL,Nitrites_mgL,Sulfate_mgL,Solids_ppm
Ocean,6.71,13.53,26.2,5.71,632.6,1196.0,1,3.16,4.37,22.16,2.58,215.36,14336.78
River,6.5,23.42,11.3,10.48,655.4,2438.0,0,17.18,3.5,4.81,1.22,230.02,40261.31
Pond,7.26,29.51,29.7,10.02,1283.0,329.0,1,6.37,3.38,4.81,1.11,145.53,6112.9
Ocean,6.51,3.52,33.8,6.87,1296.0,3449.0,0,6.58,1.82,2.3,0.98,145.99,3860.88
Pond,7.89,2.65,16.4,7.01,980.8,1544.0,1,13.12,4.61,7.4,1.37,130.26,26410.48
Reservoir,8.87,23.14,18.3,8.35,1464.4,4393.0,0,4.05,1.43,26.45,0.33,360.51,20816.67
River,8.42,26.42,9.1,4.79,1283.2,484.0,1,12.2,2.94,19.96,2.99,469.53,49361.36
Ocean,6.65,4.45,30.3,9.51,444.6,487.0,1,1.0,1.51,44.96,3.0,67.39,47402.97
Reservoir,8.85,24.04,17.3,7.89,1430.4,623.0,0,5.44,3.53,28.96,0.17,92.6,34394.71
Lake,8.25,39.14,16.7,4.56,1291.9,1154.0,1,16.02,1.7,23.72,1.3,118.11,26801.83
Reservoir,6.46,27.68,11.7,9.63,798.2,3458.0,1,1.19,1.34,35.84,2.85,478.9,39476.28
Pond,7.74,24.15,34.4,10.73,532.6,1155.0,1,13.58,1.24,2.47,2.99,227.9,33726.01
River,8.9,4.04,21.8,3.59,1319.8,3422.0,0,16.08,4.38,45.36,2.61,198.6,16268.37
River,6.29,49.04,29.8,8.48,546.0,4489.0,0,3.68,4.09,44.45,1.66,124.28,2689.05
Reservoir,6.81,27.29,17.4,6.15,467.9,3475.0,0,4.38,4.38,36.49,2.06,432.02,39064.57
Lake,7.12,22.75,21.5,9.31,1390.1,3556.0,1,10.66,2.44,12.21,0.71,378.34,16014.75
Pond,6.35,4.15,7.7,3.05,704.2,2291.0,0,9.46,0.11,11.7,2.87,294.63,48421.93
Reservoir,6.9,36.96,19.6,10.68,996.1,4746.0,0,9.32,2.38,38.94,1.52,494.68,8847.36
Reservoir,8.08,14.14,14.8,6.92,649.6,710.0,1,7.47,2.4,3.11,1.49,293.46,16092.49
River,7.43,4.47,15.9,11.89,389.4,4870.0,0,1.92,2.74,1.36,2.44,173.17,6601.64
Pond,7.26,36.14,9.0,8.42,634.2,3178.0,0,13.04,2.22,21.57,0.88,282.92,10917.01
Lake,7.3,24.3,24.8,4.42,907.4,4416.0,1,17.5,2.89,14.29,0.06,203.3,29689.47
River,8.28,3.29,8.4,8.11,1240.7,1897.0,0,5.89,0.66,46.86,2.0,377.27,35307.19
Reservoir,8.97,42.56,33.4,7.52,1423.3,2566.0,0,12.53,4.7,39.39,2.09,77.78,16824.24
River,7.77,22.65,16.2,9.49,1441.1,731.0,1,11.85,2.11,4.92,0.96,273.37,6073.34
River,8.25,7.62,23.0,6.68,1037.8,1696.0,0,17.33,1.68,11.84,2.66,304.95,23934.34
Ocean,7.12,17.26,21.6,3.92,1293.6,2846.0,1,17.25,0.54,2.32,0.14,402.48,17894.95
River,8.58,1.92,32.3,9.21,1422.7,4226.0,1,17.9,4.17,36.93,2.99,112.06,18354.55
River,7.26,49.01,6.8,11.91,376.6,3791.0,1,18.73,1.56,25.92,2.73,438.21,46738.66
Pond,8.81,37.61,19.2,6.35,204.4,3507.0,0,7.57,1.7,21.56,1.78,35.07,45137.56
River,8.23,2.92,19.9,3.14,643.9,4179.0,0,8.35,3.41,11.11,2.94,210.38,4447.39
Lake,8.12,12.39,31.0,4.68,1247.0,1925.0,0,11.77,0.08,28.37,1.35,115.74,44805.71
Reservoir,6.87,24.08,26.5,10.47,1205.8,1049.0,0,14.85,4.36,46.99,2.8,54.38,45114.16
Pond,8.39,35.99,30.2,10.97,252.9,4991.0,1,13.33,0.6,30.9,0.42,71.63,8596.01
River,6.32,31.93,31.7,8.03,459.6,4286.0,1,13.23,0.2,36.18,0.66,319.93,43651.5
Lake,7.61,22.34,7.1,10.73,623.4,2706.0,0,18.23,4.37,39.99,1.66,406.51,46776.36
Reservoir,8.21,27.56,32.0,8.24,1221.3,4227.0,1,4.79,3.08,36.86,1.86,160.26,31242.79
Pond,8.65,2.63,12.8,7.13,770.3,3661.0,0,13.2,1.75,11.91,1.56,90.54,42193.61
Lake,7.71,49.95,17.7,10.09,1325.8,4118.0,0,9.56,2.53,21.96,2.15,227.3,3711.04
River,6.77,43.42,31.1,6.93,1241.3,4946.0,0,12.54,0.34,26.99,2.69,365.24,4231.33
Ocean,8.55,16.48,6.7,3.38,1363.5,1645.0,0,2.62,0.79,7.59,1.27,478.58,48298.04
Ocean,8.3,5.83,9.1,4.56,1251.7,3085.0,0,8.23,1.55,17.55,0.94,412.04,21128.94
Pond,6.46,31.61,14.1,4.08,332.9,3538.0,1,11.85,2.3,0.26,2.73,389.36,29886.97
Lake,8.62,45.87,29.1,3.2,806.8,3473.0,0,4.92,3.15,8.08,2.03,499.84,22968.19
Reservoir,8.88,34.4,17.7,4.98,1061.3,2778.0,0,3.18,1.62,36.73,1.29,239.43,26420.3
Lake,7.61,3.87,14.4,5.8,1111.5,2312.0,0,0.41,1.64,47.76,2.87,356.91,33173.01
Ocean,6.12,19.28,26.4,10.12,181.6,2730.0,0,0.39,1.32,36.92,0.4,408.58,45660.48
Pond,8.75,36.07,29.3,6.61,767.0,3432.0,1,12.95,2.75,33.87,0.71,208.51,39814.7
River,6.37,12.48,19.2,11.9,68.7,1086.0,0,3.16,0.13,20.03,2.31,280.36,48707.5
Lake,7.9,32.32,6.1,5.16,749.1,3751.0,1,10.73,1.8,35.23,1.39,238.69,45848.38
Ocean,7.2,29.42,29.4,5.11,1479.4,895.0,0,9.03,3.83,5.69,0.07,151.58,32312.61
Reservoir,8.98,5.27,24.4,8.77,576.4,1590.0,0,2.84,1.43,9.51,2.08,331.52,25139.53
Pond,8.75,37.0,20.5,10.89,595.0,1850.0,1,5.58,4.05,45.33,2.04,465.82,2235.03
River,8.35,22.16,20.0,9.81,742.7,1730.0,1,9.96,1.89,16.8,1.09,192.12,38503.56
Lake,6.6,8.46,12.8,10.9,1499.6,3303.0,1,18.57,2.22,37.71,2.17,461.77,41708.31
Reservoir,8.1,46.38,20.6,9.55,402.5,1789.0,1,14.36,3.86,27.29,1.36,383.68,869.86
River,7.72,37.4,26.6,3.78,1373.1,648.0,1,0.34,1.56,36.91,0.43,104.85,29688.28
Ocean,6.41,36.32,7.1,6.99,1045.3,3725.0,0,4.53,0.4,7.09,1.98,410.51,15736.97
Ocean,8.38,22.62,9.8,4.23,360.7,597.0,0,2.54,2.27,38.83,2.71,354.36,25941.74
Reservoir,6.26,32.37,23.1,11.4,102.6,4367.0,0,16.79,1.12,18.92,0.84,53.04,47862.75
Ocean,7.44,32.22,8.5,5.3,1402.4,715.0,0,1.15,1.1,23.67,2.04,292.22,36558.3
Pond,7.28,7.28,26.0,7.39,1041.8,4201.0,0,14.11,0.66,0.44,2.6,208.09,10981.9
Reservoir,8.42,44.05,24.5,3.89,176.5,4462.0,0,12.89,0.76,28.72,1.65,379.19,15692.64
Ocean,7.28,40.96,17.0,9.24,1097.2,1718.0,0,3.79,4.9,32.37,2.61,256.33,1072.23
Lake,8.08,7.3,28.4,6.33,575.3,4442.0,1,11.91,0.71,9.38,2.07,186.75,26115.29
Ocean,7.43,16.48,14.1,7.93,1409.4,2345.0,0,16.72,2.34,23.28,1.74,210.15,2261.41
Pond,7.75,3.92,33.6,3.26,1391.2,4846.0,1,11.52,1.72,29.35,0.31,218.58,8662.92
River,6.72,17.59,5.5,3.5,195.7,4039.0,1,15.13,0.7,4.42,2.68,9.26,45651.88
River,6.61,36.63,8.2,9.61,739.5,3474.0,1,18.83,2.99,45.61,0.74,336.5,31646.82
Ocean,8.13,0.68,22.7,9.18,390.1,1627.0,0,18.01,3.79,48.33,0.75,59.29,2680.58
River,6.37,25.59,24.8,3.1,936.9,4940.0,0,13.76,0.56,44.28,1.13,376.56,45496.86
Ocean,6.53,43.43,34.8,11.85,551.4,2878.0,1,5.63,1.76,24.17,2.96,383.13,25884.62
Pond,8.82,15.91,12.2,11.13,744.8,2167.0,1,17.41,0.55,7.42,1.22,138.6,6113.71
River,6.76,36.35,28.3,3.04,1457.7,3131.0,0,3.66,3.24,33.94,2.72,216.73,47252.77
Lake,6.97,3.21,11.8,6.69,592.6,2370.0,1,3.16,4.82,16.67,2.34,456.66,707.55
Ocean,7.9,28.08,33.6,4.52,1201.8,424.0,0,18.47,2.11,3.79,1.79,299.86,31986.11
River,7.32,43.91,18.1,4.33,633.1,1534.0,1,17.46,0.7,39.25,2.35,178.33,20385.75
Pond,7.68,20.69,6.5,6.36,712.0,4158.0,0,11.83,1.24,44.4,2.79,226.79,7995.75
Pond,6.43,31.33,11.8,5.43,1108.5,2366.0,0,14.59,2.59,35.53,1.08,459.56,42586.31
Lake,8.02,31.89,16.4,4.22,764.4,1254.0,0,12.51,0.42,27.63,0.49,21.61,35140.09
Pond,6.47,36.73,15.0,11.29,920.7,1614.0,0,9.29,2.27,27.02,2.82,309.34,40978.13
Pond,8.24,11.81,17.5,4.65,284.6,2295.0,1,15.88,1.36,47.87,2.29,67.71,10728.29
River,7.57,37.52,23.8,8.83,924.2,557.0,1,0.41,1.57,23.07,2.42,9.65,44345.1
Ocean,8.45,12.26,14.1,3.88,305.4,739.0,0,8.72,1.21,28.26,2.53,344.79,3236.64
Reservoir,6.52,30.1,6.5,7.43,988.0,4710.0,0,12.23,1.46,43.71,0.6,484.16,30188.53
Pond,7.13,8.43,18.7,3.33,1050.9,2128.0,1,17.68,0.5,6.63,1.21,451.43,24289.27
Pond,8.54,36.94,18.1,4.5,329.2,4913.0,1,3.0,3.08,17.5,0.23,194.68,1759.35
Reservoir,8.4,14.72,20.2,6.35,422.0,886.0,1,16.92,4.64,38.84,0.01,209.37,38576.23
Pond,8.9,32.74,15.0,7.42,1167.9,2271.0,0,12.41,4.49,28.94,2.63,236.1,12941.55
River,6.67,8.23,5.2,8.87,1015.6,1919.0,1,6.01,3.89,13.2,2.73,132.4,41683.94
River,7.62,11.94,16.2,4.57,715.0,4271.0,1,2.86,0.45,47.17,2.75,292.6,43312.0
Reservoir,6.05,40.95,13.2,4.67,1434.3,381.0,0,10.04,2.86,31.32,2.24,483.48,39833.05
Pond,8.9,5.11,19.8,3.57,1358.5,1656.0,1,12.79,3.02,9.71,1.92,178.61,14546.73
Pond,6.53,5.33,7.6,4.35,545.3,2037.0,1,16.06,4.18,8.92,1.59,98.42,6665.47
Ocean,8.71,38.81,26.5,8.19,967.9,2300.0,1,8.15,3.09,41.78,0.51,32.98,2116.48
Pond,8.03,6.6,27.9,3.63,1318.4,4109.0,0,17.51,2.89,21.3,0.18,71.98,9854.0
River,8.81,44.8,25.5,4.03,532.6,3899.0,0,0.24,0.21,33.76,0.96,428.74,9262.98
Lake,6.74,7.39,28.4,4.17,53.5,4756.0,0,11.38,3.88,31.48,1.36,213.87,9883.0
Lake,7.04,34.24,13.7,8.58,205.5,749.0,0,6.24,4.91,12.01,2.17,53.41,1132.31
Lake,6.49,30.13,8.7,7.73,1052.7,4996.0,0,7.15,3.36,17.93,2.42,83.74,39362.17
Lake,7.27,36.53,11.0,5.74,979.1,1103.0,1,0.19,4.44,13.18,2.7,397.81,2278.39
Pond,8.84,34.91,30.0,11.3,664.1,3667.0,0,5.82,2.2,47.84,2.17,189.8,36194.9
Pond,7.71,18.6,31.2,9.67,692.6,193.0,0,18.05,4.4,18.21,2.26,268.31,26691.43
Ocean,7.25,47.33,6.0,3.32,1396.1,1393.0,1,10.87,1.49,19.32,2.05,293.93,34509.62
Pond,6.97,25.66,34.0,11.89,735.5,2861.0,0,7.83,1.07,28.1,1.22,250.78,15781.38
Lake,7.75,48.61,25.8,7.94,320.3,1670.0,1,8.03,3.59,26.14,2.31,104.92,40333.45
Reservoir,8.17,19.36,34.7,7.13,873.8,21.0,0,10.63,1.38,44.97,0.97,325.34,23004.78
Reservoir,7.22,26.6,10.5,5.25,162.2,4707.0,0,12.59,4.89,29.65,0.05,102.8,18886.95
River,6.69,29.41,29.6,7.11,557.7,4836.0,1,1.74,3.34,6.5,0.77,274.47,17009.26
River,7.76,28.38,27.4,9.35,759.9,370.0,1,5.97,0.53,10.36,2.89,307.67,16403.89
Pond,7.1,33.26,34.4,10.19,1462.7,3774.0,1,12.12,1.31,5.59,1.41,107.74,48963.17
Reservoir,8.98,14.67,8.5,9.68,705.8,987.0,1,0.47,2.15,38.44,1.01,284.06,24522.17
Lake,7.32,3.71,29.3,10.97,434.8,1028.0,1,16.03,3.02,17.28,0.28,71.5,48876.32
Lake,7.3,10.32,21.3,7.02,591.0,1480.0,0,19.46,4.43,24.12,2.02,433.22,39496.78
Lake,8.52,28.23,20.0,9.63,1011.0,4557.0,0,19.3,2.96,7.2,0.51,442.21,7691.03
Pond,6.75,42.96,8.0,9.06,1390.8,2123.0,0,4.07,1.86,27.34,0.52,250.45,18653.54
Pond,6.2,24.01,17.9,6.29,578.9,2694.0,0,7.91,4.12,8.39,0.44,490.52,2728.72
Ocean,8.56,16.4,20.6,4.9,90.9,1846.0,0,8.07,3.45,15.77,2.25,416.4,3015.82
Lake,7.77,36.7,16.4,11.53,718.5,629.0,0,4.81,2.73,23.06,1.34,49.12,9509.58
Lake,6.78,20.07,16.7,6.33,116.0,638.0,0,11.46,0.33,3.2,0.43,467.85,16583.1
Pond,7.03,41.19,13.1,3.08,1376.5,4469.0,0,18.03,1.56,46.08,2.9,242.08,18119.45
Pond,7.28,1.09,32.4,4.26,170.5,4748.0,1,17.53,4.84,34.97,1.18,417.55,10035.32
Ocean,8.04,6.25,14.1,5.29,267.6,3367.0,0,19.85,2.54,16.71,1.2,128.76,24300.73
Ocean,7.4,5.58,11.8,8.59,1093.8,3273.0,1,18.26,1.14,17.49,2.46,69.44,30114.68
River,7.19,2.23,34.0,3.85,683.5,1744.0,1,4.56,1.33,5.87,2.2,135.3,22821.87
Reservoir,8.34,8.82,5.3,6.94,354.9,4111.0,1,2.76,0.98,4.76,2.28,266.94,49113.33
Lake,6.22,49.36,28.5,9.6,305.1,4195.0,0,5.24,3.87,39.61,0.27,57.7,37951.78
Lake,7.96,24.33,11.7,7.55,1464.7,4683.0,0,5.17,3.37,45.04,0.45,428.4,2695.83
Ocean,7.35,21.4,11.9,8.7,128.7,696.0,0,9.84,4.2,43.78,2.0,409.69,22277.29
Ocean,7.0,45.55,28.1,4.14,149.0,2141.0,0,5.99,0.85,48.11,0.31,105.62,47129.55
River,8.78,39.85,15.2,3.49,1420.7,4875.0,1,6.83,0.79,24.73,0.38,73.47,25584.57
Reservoir,8.33,13.97,28.8,10.94,376.1,2988.0,1,13.64,2.72,29.72,0.81,193.76,2868.57
River,6.66,40.32,21.5,7.32,311.8,275.0,1,15.0,3.18,18.28,2.15,99.8,38292.4
Reservoir,7.96,4.59,28.4,6.69,268.5,3305.0,1,6.51,0.7,0.26,1.85,209.05,35227.95
Lake,8.47,35.93,7.2,7.56,1057.1,4784.0,1,11.57,3.22,38.91,1.96,482.95,22038.84
River,8.97,1.41,26.8,7.99,190.9,1214.0,1,7.75,0.11,49.77,0.21,166.91,9154.93
Ocean,8.1,10.9,22.8,5.14,346.7,911.0,1,10.08,0.11,24.52,0.89,36.84,2126.47
River,8.07,44.43,30.1,4.44,1287.0,938.0,1,11.16,0.39,38.01,2.69,183.67,6363.46
River,7.84,18.99,10.6,6.82,470.6,4326.0,1,6.85,3.04,37.84,2.7,246.16,25971.87
Lake,6.12,23.76,21.6,5.14,275.9,2926.0,0,19.53,3.52,12.54,1.93,450.13,9046.86
Ocean,7.76,32.52,24.0,6.24,177.9,2586.0,0,0.56,4.72,11.77,1.25,354.0,46449.8
Ocean,8.42,34.85,6.0,8.58,1239.9,166.0,0,12.4,2.06,4.43,0.56,150.67,24407.68
Pond,7.19,7.7,25.7,8.72,596.9,1610.0,1,4.51,2.18,42.12,0.84,84.84,43434.04
Pond,7.76,46.42,22.9,9.77,1115.9,535.0,1,11.52,0.44,28.33,1.31,390.53,40902.09
Pond,8.78,28.63,19.5,6.26,601.2,113.0,0,1.69,4.46,14.5,2.8,14.71,2218.93
Lake,6.52,30.14,7.7,6.8,1404.5,3850.0,0,17.02,4.01,4.97,1.73,248.94,42535.95
River,6.84,32.22,27.6,6.56,892.6,1732.0,1,19.43,1.15,47.26,2.85,288.93,33183.86
Ocean,6.33,42.72,26.3,3.11,1425.1,3499.0,1,3.68,3.83,47.48,3.0,234.43,7927.4
Ocean,7.5,10.91,20.5,10.72,877.2,1144.0,1,15.56,4.93,48.37,2.55,441.55,332.87
River,8.52,45.61,11.0,4.67,762.7,4908.0,1,8.4,1.55,48.77,2.69,413.03,35944.77
Ocean,7.31,39.15,17.1,5.2,860.1,525.0,1,17.01,1.16,8.16,1.37,57.97,34687.45
River,6.21,11.58,21.3,6.38,1478.8,3515.0,1,19.05,2.92,5.02,0.75,289.33,34348.5
Lake,6.79,40.04,19.4,10.0,1300.6,3810.0,1,0.75,1.28,44.18,0.18,88.0,41334.09
Lake,8.67,25.46,14.9,11.35,1162.3,4603.0,1,0.61,3.78,10.34,0.1,359.83,36061.12
Lake,7.67,28.99,13.0,7.52,1267.2,1097.0,1,18.75,1.37,11.29,2.46,99.71,40830.44
River,8.74,49.63,12.1,10.93,1393.8,2873.0,0,5.47,2.62,30.9,0.59,456.38,32489.97
River,8.5,1.15,14.7,7.47,583.9,2122.0,0,18.88,0.93,49.48,2.59,83.09,28648.14
Reservoir,7.24,46.84,17.4,8.78,1103.5,2573.0,0,18.2,1.85,11.76,1.43,275.07,33668.93
Ocean,7.9,36.41,25.0,4.9,975.2,3177.0,1,15.32,4.53,25.26,1.63,276.84,33879.44
Ocean,7.99,17.75,5.4,5.79,518.6,1552.0,0,8.3,3.55,1.98,2.36,285.96,3393.97
Reservoir,8.24,36.6,28.8,7.07,725.6,3753.0,0,2.59,0.38,4.36,0.66,88.76,7736.2
Reservoir,7.0,10.53,7.9,3.3,332.8,2626.0,1,15.05,1.14,47.72,0.85,103.41,2731.58
Lake,6.87,25.91,10.1,10.95,855.2,1357.0,0,1.6,0.56,45.17,2.69,415.39,35742.18
Reservoir,8.05,40.89,22.9,9.99,346.9,3303.0,1,3.03,1.41,20.98,0.95,76.76,40130.86
River,8.46,10.87,6.2,5.08,1131.3,1790.0,1,6.36,3.83,47.95,1.84,468.23,6194.23
Pond,7.24,28.25,30.2,11.28,767.6,4313.0,0,3.39,2.78,29.38,2.76,145.94,24187.47
River,6.96,2.6,28.4,11.92,792.4,4415.0,1,16.07,0.1,38.87,0.12,395.28,45761.56
Reservoir,8.48,41.92,26.8,8.25,1396.8,3327.0,1,10.28,3.6,47.32,2.71,396.71,8196.81
Ocean,8.06,17.84,9.4,6.25,1171.9,2074.0,1,0.62,0.62,40.26,1.15,494.97,48341.86
River,7.03,16.72,13.3,5.91,1352.1,2424.0,1,2.99,2.11,20.69,1.36,39.27,19746.88
Ocean,7.59,13.18,28.2,7.76,1041.5,4308.0,1,15.39,2.7,1.15,1.71,467.5,41931.04
River,8.88,36.09,17.9,11.94,711.3,773.0,0,7.62,3.19,9.27,1.86,51.5,14153.89
Ocean,8.25,9.12,19.3,7.16,91.4,2663.0,1,5.67,1.07,42.49,1.8,270.8,614.93
River,6.66,2.18,9.4,3.08,699.7,4595.0,1,7.86,0.75,48.17,1.43,197.55,14289.45
Ocean,6.89,14.28,33.0,4.97,1081.4,3354.0,1,13.9,4.44,19.53,2.83,96.79,18790.25
Pond,6.8,33.31,34.6,4.08,1001.6,2256.0,1,12.2,1.13,7.37,1.3,260.13,40552.36
Lake,8.55,2.99,26.9,9.07,538.8,3609.0,1,16.91,3.88,41.21,0.15,75.34,38115.11
River,7.92,21.64,26.9,3.1,827.8,3010.0,0,0.61,2.99,29.87,1.51,337.44,23841.17
Pond,8.82,40.43,10.5,11.6,293.4,2029.0,1,5.55,1.06,39.68,0.53,60.02,9075.24
Lake,6.27,21.63,16.4,4.06,655.9,4317.0,0,13.19,0.82,42.26,1.09,410.56,17371.64
River,6.16,27.85,14.3,3.41,270.9,1378.0,0,13.8,1.74,39.62,1.26,281.39,37100.48
Pond,8.03,21.66,9.4,3.33,81.5,1794.0,0,2.97,1.11,42.36,0.43,150.88,6634.65
Pond,6.8,9.11,13.6,10.37,410.2,4298.0,1,10.91,1.7,30.9,1.69,203.6,49308.82
Pond,8.04,48.55,31.7,5.98,641.7,3584.0,0,6.6,2.88,29.69,0.43,334.55,581.21
Reservoir,8.17,9.92,14.9,3.78,1022.3,4087.0,0,0.83,2.19,33.93,1.27,487.31,1038.72
Ocean,6.91,31.21,13.0,9.88,1147.1,952.0,1,11.44,1.86,0.62,1.22,191.85,40527.2
Lake,8.86,14.0,25.0,11.58,855.3,2974.0,1,11.05,1.63,17.46,2.42,441.8,41731.17
Ocean,8.32,41.25,12.4,6.33,843.6,1029.0,1,17.9,3.21,29.36,2.6,429.68,30097.99
Ocean,7.1,39.8,32.1,11.55,984.5,2911.0,0,8.23,4.18,1.78,1.21,102.09,1894.33
Ocean,7.24,23.07,10.8,3.48,672.9,1091.0,1,9.78,1.4,24.89,2.15,72.98,12083.8
Pond,8.15,9.88,33.3,6.33,309.4,1014.0,1,9.06,2.91,29.52,0.39,155.14,9822.23
Ocean,6.91,2.88,27.5,10.34,429.2,3680.0,0,6.03,3.02,34.98,0.77,495.85,45037.39
Reservoir,6.89,24.1,23.2,9.28,427.8,354.0,1,1.73,1.32,24.2,0.25,431.52,19093.52
River,7.87,8.62,17.0,5.2,1126.4,3236.0,0,8.61,1.6,30.37,0.3,285.19,42644.92
Pond,6.4,47.49,13.6,6.28,1338.4,3949.0,0,5.42,1.73,38.27,2.37,412.51,31443.96
Lake,8.98,7.26,24.4,10.06,219.1,1401.0,0,15.07,0.57,31.24,1.37,335.63,40790.15
River,6.86,12.16,12.7,8.55,992.6,2055.0,0,11.78,3.13,21.62,0.28,255.0,15888.71
River,7.15,38.53,27.4,4.53,242.4,4192.0,1,18.88,3.15,35.59,2.84,427.58,28409.69
River,6.67,21.84,34.0,11.24,1257.3,3225.0,1,2.39,0.42,12.3,1.34,421.51,33316.59
Ocean,7.93,18.21,13.4,10.15,1112.9,1791.0,1,3.25,4.87,33.02,1.61,133.79,49921.87
Ocean,6.18,18.45,19.3,9.14,1477.0,242.0,0,14.34,0.85,17.27,0.28,398.37,39153.67
Pond,8.78,26.71,17.8,6.46,582.4,2696.0,0,0.66,2.3,37.39,0.32,288.65,44713.12
Ocean,6.91,26.99,19.0,5.07,153.7,3808.0,0,12.69,0.33,39.42,1.43,188.87,23871.03
Ocean,8.78,16.54,17.6,10.51,1458.3,3627.0,0,2.89,3.86,23.45,0.84,385.08,7084.21
Ocean,6.76,34.86,19.1,6.63,938.6,3494.0,1,3.51,3.9,15.17,0.87,343.96,42152.66
Pond,7.54,14.69,9.7,3.54,280.7,4869.0,0,0.3,2.74,17.79,2.96,370.05,21832.56
Pond,8.09,12.37,13.0,5.16,602.8,4483.0,1,17.77,2.84,14.95,1.38,307.61,39165.83
Reservoir,7.84,43.43,29.9,9.27,1389.3,235.0,1,7.22,3.67,46.41,2.98,492.09,17593.79
Reservoir,7.54,6.04,10.1,11.98,947.8,886.0,0,12.12,4.33,24.9,2.37,361.28,16593.53
Reservoir,8.37,48.51,16.7,8.15,584.7,1048.0,1,18.0,1.81,40.27,2.77,333.89,33875.43
Reservoir,7.41,28.51,8.7,10.63,1257.2,3827.0,1,19.37,2.1,26.17,2.08,441.5,29115.47
River,7.0,46.41,5.5,6.94,899.7,2492.0,1,2.88,1.8,32.43,2.24,59.94,31178.48
River,8.16,49.11,26.2,8.87,1042.6,4301.0,0,2.8,1.53,27.75,2.58,191.49,31086.88
Reservoir,8.81,21.11,17.3,6.26,1435.3,2164.0,1,7.12,0.59,42.02,2.75,331.82,41395.71
Reservoir,7.8,10.06,32.8,3.04,1488.4,432.0,0,16.22,3.65,32.66,0.49,241.57,17229.47
Lake,6.84,46.88,27.7,5.82,888.3,478.0,0,17.24,4.28,27.3,0.11,219.76,42892.99
River,8.29,42.57,30.8,11.43,982.0,3089.0,1,14.82,0.3,27.24,1.12,353.84,4108.44
Lake,8.29,9.45,15.1,8.92,520.1,3839.0,1,4.51,4.29,40.74,1.07,208.22,20883.23
Lake,6.8,8.0,24.4,6.26,1346.2,84.0,0,2.89,4.64,6.93,0.93,25.29,45178.8
Ocean,7.15,49.53,5.7,6.76,65.5,39.0,0,8.92,3.56,30.55,2.34,240.69,1355.25
Pond,6.42,29.12,25.8,7.11,1316.2,2161.0,1,7.32,3.61,10.67,1.0,121.79,46338.69
River,6.24,22.96,17.0,7.12,235.9,3978.0,0,9.52,4.43,3.51,1.11,133.32,5960.99
Reservoir,8.42,31.4,14.3,4.07,1402.7,2930.0,0,0.27,1.2,21.07,1.4,15.71,29962.86
Reservoir,7.12,41.83,31.9,4.96,437.3,548.0,0,13.86,1.47,41.65,1.21,299.46,42730.83
Pond,6.84,1.22,34.8,8.14,1132.3,1422.0,0,13.72,2.76,9.48,0.87,429.04,12578.22
River,6.77,5.5,24.7,4.78,255.7,717.0,0,13.67,0.39,32.1,1.57,10.71,946.08
Reservoir,6.22,34.33,13.9,4.63,1038.1,1394.0,0,3.13,2.6,46.01,2.66,279.9,27399.16
Reservoir,8.95,34.11,31.7,5.57,701.9,1471.0,1,14.84,1.38,42.59,1.57,357.06,19729.22
Ocean,7.1,49.27,29.8,9.77,1129.8,1127.0,1,7.75,1.38,7.73,1.99,437.26,16602.82
Lake,6.49,1.83,32.6,9.95,987.1,2709.0,0,3.49,1.58,16.66,2.29,383.07,25204.42
Reservoir,8.59,4.42,15.0,10.75,1290.4,3147.0,0,19.89,0.81,29.72,2.24,139.71,34921.08
River,8.17,24.27,11.8,7.77,1383.4,4486.0,1,11.77,2.93,3.53,2.92,447.71,3428.69
Pond,7.99,33.08,20.4,5.36,717.5,468.0,1,18.36,4.36,43.41,1.59,46.33,35565.7
Ocean,6.89,13.29,33.9,8.22,788.6,1593.0,1,1.14,1.97,13.68,2.46,197.54,37363.29
River,7.25,13.18,9.4,9.76,1281.2,1372.0,0,10.33,0.15,33.04,0.29,18.14,1759.87
Ocean,8.52,2.43,23.0,11.45,1139.8,1127.0,0,0.76,4.49,23.27,0.75,147.48,2073.07
Lake,7.92,2.79,7.9,8.53,151.3,4623.0,0,14.35,4.83,7.93,0.25,334.49,38356.1
Reservoir,7.04,4.94,14.3,9.31,1150.3,388.0,1,3.9,0.77,31.73,1.09,128.73,43026.97
River,6.33,3.92,9.4,11.36,909.3,2678.0,0,19.89,3.03,27.96,0.62,188.72,37468.15
Pond,8.7,44.07,8.0,3.78,1260.7,2416.0,1,9.43,1.97,23.76,2.24,60.19,30300.24
Lake,8.87,20.66,34.6,3.1,1429.7,628.0,0,6.12,2.12,9.55,0.29,64.1,25166.54
Lake,8.16,38.05,9.1,9.93,1336.4,4024.0,1,7.89,3.12,17.12,1.12,371.73,21886.84
Ocean,8.07,6.8,11.9,4.23,869.9,2512.0,0,8.45,4.32,34.24,0.82,117.71,12072.06
Lake,7.61,1.05,10.8,7.97,1347.6,4094.0,0,17.09,4.69,35.54,1.68,262.04,32834.27
River,8.91,49.91,31.6,10.67,1390.9,241.0,1,5.33,2.34,41.68,1.47,145.77,12047.19
Ocean,8.08,39.95,16.6,4.65,307.6,3934.0,0,15.46,2.03,6.68,1.35,284.92,22478.14
